Clause	Title	Release	Applicability	Release Applicability	Comments
9.4.2	HS-SCCH Detection Performance - Open Loop Diversity Performance	Rel-6	C_RF02	RA6	UEs supporting FDD and HS-PDSCH
9.4.2A	HS-SCCH Detection Performance - Open Loop Diversity Performance - Enhanced Performance Requirements Type 1	Rel-6	C_RF21	RA6	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 1
		Rel-7	C_RF61	RA7	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 3
		Rel-8	C_RF60	RA8	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 3i
9.4.3	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance	Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18
9.4.3A	HS-SCCH Type 3 Performance -STTD disabled- Asymmetric CPICHs	Rel-10	C_RF55	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-20
9.4.3B	HS-SCCH Type 3 Performance -STTD enabled- Asymmetric CPICHs	Rel-10	C_RF99	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-20 and supporting Tx Diversity on DL control channels
9.4.4	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction	Rel-10	C_RF100	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction and supporting Tx Diversity on DL control channels
9.4.4A	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction-Enhanced Performance Requirements Type 1	Rel-10	C_RF101	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction and supporting Tx Diversity on DL control channels and Enhanced performance requirements type 1
9.4.4B	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction-STTD disabled-asymmetric CPICHs	Rel-10	C_RF97	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction
9.4.4C	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction-STTD disabled-asymmetric CPICHs-Enhanced Performance Requirements Type 1	Rel-10	C_RF98	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction and Enhanced performance requirements type 1
9.4.4D	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction-STTD enabled-asymmetric CPICHs	Rel-10	C_RF100	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction and supporting Tx Diversity on DL control channels
9.4.4E	HS-SCCH Detection Performance - HS-SCCH Type 3 Performance for MIMO only with single-stream restriction-STTD enabled-asymmetric CPICHs-Enhanced Performance Requirements Type 1	Rel-10	C_RF101	RA10	UEs supporting FDD and HS-PDSCH and MIMO only with single-stream restriction-and supporting Tx Diversity on DL control channels and Enhanced performance requirements type 1
9.5.1	HS-SCCH-less demodulation of HS-DSCH	Rel-7	C_RF36	RA7	UEs supporting FDD and HS-SCCH-less HS-DSCH
9.5.1A	HS-SCCH-less demodulation of HS-DSCH - Enhanced Performance Requirements Type 1	Rel-7	C_RF37	RA7	UEs supporting FDD and HS-SCCH-less HS-DSCH and Enhanced performance requirements type 1
9.6.1	Single link HS-DSCH Demodulation performance in CELL_FACH state	Rel-7	C_RF70	RA7	UEs supporting FDD and HS-PDSCH in CELL_FACH
9.6.2	Single link HS-SCCH Detection performance in CELL_FACH state	Rel-7	C_RF70	RA7	UEs supporting FDD and HS-PDSCH in CELL_FACH
10.2.1.1	Detection of E-DCH HARQ ACK Indicator Channel (E-HICH) - Single link performance (10 ms TTI)	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.2.1.1A	Single link performance (10ms TTI, Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
10.2.1.2	Detection of E-DCH HARQ ACK Indicator Channel (E-HICH) - Single link performance (2 ms TTI)	Rel-6	C_RF28	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI
10.2.1.2A	Single link performance (2ms TTI, Type 1)	Rel-7	C_RF33	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI and Enhanced performance requirements type 1
10.2.2.1.1	Detection in Inter-Cell Handover conditions - RLS not containing the Serving E-DCH cell (10 ms TTI)	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.2.2.1.1A	RLS not containing the Serving E-DCH cell (10ms TTI, Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
10.2.2.1.2	Detection in Inter-Cell Handover conditions - RLS not containing the Serving E-DCH cell (2 ms TTI)	Rel-6	C_RF28	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI
10.2.2.1.2A	RLS not containing the Serving E-DCH cell (2ms TTI, Type 1)	Rel-7	C_RF33	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI and Enhanced performance requirements type 1
10.2.2.2.1	Detection in Inter-Cell Handover conditions - RLS containing the Serving E-DCH cell (10 ms TTI)	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.2.2.2.1A	RLS containing the Serving E-DCH cell (10ms TTI, Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
10.2.2.2.2	Detection in Inter-Cell Handover conditions - RLS containing the Serving E-DCH cell (2 ms TTI)	Rel-6	C_RF28	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI
10.2.2.2.2A	RLS containing the Serving E-DCH cell (2ms TTI, Type 1)	Rel-7	C_RF33	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI and Enhanced performance requirements type 1
10.3.1.1	Detection of E-DCH Relative Grant Channel (E-RGCH) - Single link performance (10 ms TTI)	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.3.1.1A	Single link performance (10ms TTI, Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
10.3.1.2	Detection of E-DCH Relative Grant Channel (E-RGCH) - Single link performance (2 ms TTI)	Rel-6	C_RF28	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI
10.3.1.2A	Single link performance (2ms TTI, Type 1)	Rel-7	C_RF33	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI and Enhanced performance requirements type 1
10.3.2	Detection of E-DCH Relative Grant Channel (E-RGCH) - Detection in Inter-Cell Handover conditions	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.3.2A	Detection in Inter-Cell Handover conditions (Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
10.4.1	Demodulation of E-DCH Absolute Grant Channel (E-AGCH) - Single Link Performance	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
10.4.1A	Single link performance (Type 1)	Rel-7	C_RF32	RA7	UEs supporting FDD and HS-PDSCH and E-DPDCH and Enhanced performance requirements type 1
11.2	Demodulation of MTCH	Rel-6	C_RF29a	RA6	UEs supporting FDD and MBMS. Note: For UEs for which test case 11.2A is applicable then test case 11.2 is optional.
11.2A	Demodulation of MTCH - Enhanced Performance Requirements Type 1	Rel-7	C_RF31	RA7	UEs supporting FDD and Enhanced performance requirements type 1 for MBMS
11.3	Demodulation of MTCH and cell identification	Rel-6	C_RF29	RA6	UEs supporting FDD and MBMS
