Clause	TC Title	Release	Applicability		Additional Information			
			C112T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.2	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / SRVCC	Rel-8	C112F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 7 and Feature Group Indicator 8 and Feature Group Indicator 22 and Feature Group Indicator 27 and SRVCC and IM S voice and NOT Category M1	pc_eFDD			
			C112T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.3	Inter-system mobility / E-UTRA voice to GSM CS voice / SRVCC	Rel-8	C144F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7 and Feature Group Indicator 9 and Feature Group Indicator 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" and NOT Category M1	pc_eFDD			
			C144T		pc_eTDD			
13.4.3.4	Inter-system mobility / E-UTRA voice to UTRA CS voice / Unsuccessful case / Retry on old cell / SRVCC	Rel-8	C112F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 7 and Feature Group Indicator 8 and Feature Group Indicator 22 and Feature Group Indicator 27 and SRVCC and IM S voice and NOT Category M1	pc_eFDD			
			C112T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.5	Inter-system mobility / E-UTRA voice to GSM CS voice / Unsuccessful case / Retry on old cell / SRVCC	Rel-8	C144F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7 and Feature Group Indicator 9 and Feature Group Indicator 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" and NOT Category M1	pc_eFDD			
			C144T		pc_eTDD			
13.4.3.6	Inter-system mobility / E-UTRA PS voice + PS Data / HO cancelled / Notification procedure / SRVCC	Rel-9	C160F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 7, 8, 22 and 27 and SRVCC and IMS voice and Notification procedure and NOT Category M1	pc_eFDD		Note 3, Either TC 13.4.3.6 or TC 13.4.3.41 shall be executed. (Note 9)	Rel-8 UTRA FDD
			C160T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.7	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MO call	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.8	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MO call / Forked responses	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.9	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MO call / SRVCC HO failure	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.10	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MT call	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.11	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MT call / SRVCC HO failure	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.12	Void							
13.4.3.13	Inter-system mobility / E-UTRA voice to UTRA CS voice / aSRVCC / MT call / SRVCC HO cancelled / User answers in PS domain	Rel-10	C161F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and Notification procedure and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C161T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.14	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / aSRVCC / MO call	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.15	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / aSRVCC / MO call / SRVCC HO cancelled	Rel-10	C161F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and Notification procedure and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C161T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.16	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / aSRVCC / MT call	Rel-10	C159F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and aSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C159T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.17	Void							
13.4.3.18	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / bSRVCC / MO call	Rel-12	C201F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and bSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C201T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.19	Inter-system mobility / E-UTRA PS voice + PS data to UTRA CS voice + PS data / bSRVCC / MO call / SRVCC HO cancelled	Rel-12	C202F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and bSRVCC and Notification procedure and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C202T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.20	Inter-system mobility / E-UTRA voice to UTRA CS voice / bSRVCC / MO call / SRVCC HO failure	Rel-12	C201F	UEs supporting E-UTRA and UTRA and Feature Group Indicator 27 and IMS voice and bSRVCC and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C201T		pc_eTDD			Rel-9 UTRA TDD
13.4.3.21	Inter-system mobility / E-UTRA PS voice to GSM CS voice / bSRVCC / MO call	Rel-12	C198F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND bSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C198T		pc_eTDD			
13.4.3.22	Inter-system mobility / E-UTRA PS voice to GSM CS voice / bSRVCC / MO call / SRVCC HO cancelled	Rel-12	C199F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND bSRVCC AND Notification procedure and NOT Category M1	pc_eFDD		Note 3	
			C199T		pc_eTDD			
13.4.3.23	Inter-system mobility / E-UTRA voice to GSM CS voice / bSRVCC / MO call / SRVCC HO failure	Rel-12	C198F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND bSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C198T		pc_eTDD			
13.4.3.24	Inter-system mobility / E-UTRA voice to GSM CS voice / aSRVCC / MO call	Rel-10	C193F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C193T		pc_eTDD			
13.4.3.25	Inter-system mobility / E-UTRA voice to GSM CS voice / aSRVCC / MO call / Forked responses	Rel-10	C193F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C193T		pc_eTDD			
13.4.3.26	Inter-system mobility / E-UTRA voice to GSM CS voice / aSRVCC / MO call / SRVCC HO failure	Rel-10	C193F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C193T		pc_eTDD			
13.4.3.27	Inter-system mobility / E-UTRA voice to GSM CS voice / aSRVCC / MT call	Rel-10	C193F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C193T		pc_eTDD			
13.4.3.28	Inter-system mobility / E-UTRA voice to GERAN CS voice / aSRVCC / MT call / SRVCC HO failure	Rel-10	C193F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC and NOT Category M1	pc_eFDD		Note 3	
			C193T		pc_eTDD			
13.4.3.29	Void							
13.4.3.30	Inter-system mobility / E-UTRA voice to GSM CS voice / aSRVCC / MT call / SRVCC HO cancelled / User answers in PS domain	Rel-10	C200F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7, 9 and 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" AND aSRVCC AND Notification procedure and NOT Category M1	pc_eFDD		Note 3	
			C200T		pc_eTDD			
13.4.3.31	Inter-system mobility / GERAN CS voice to E-UTRA voice / rSRVCC	Rel-11	C219	UEs supporting E-UTRA and GERAN and IMS voice and rSRVCC and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.32	Inter-system mobility / UTRA CS voice to E-UTRA voice / rSRVCC	Rel-11	C217	UEs supporting E-UTRA and UTRA and IMS voice and rSRVCC and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.33	Inter-system mobility / GERAN CS voice to E-UTRA voice / alerting / rSRVCC / MO call	Rel-11	C220	UEs supporting E-UTRA and GERAN and IMS voice and rSRVCC and rSRVCC in alerting state and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.34	Inter-system mobility / UTRA CS voice to E-UTRA voice / alerting / rSRVCC / MO call	Rel-11	C218	UEs supporting E-UTRA and UTRA and IMS voice and rSRVCC and rSRVCC in alerting state and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.35	Inter-system mobility / GERAN CS voice to E-UTRA voice / alerting / rSRVCC / MT call	Rel-11	C220	UEs supporting E-UTRA and GERAN and IMS voice and rSRVCC and rSRVCC in alerting state and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.36	Inter-system mobility / UTRA CS voice to E-UTRA voice / alerting / rSRVCC / MT call	Rel-11	C218	UEs supporting E-UTRA and UTRA and IMS voice and rSRVCC and rSRVCC in alerting state and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.37	Inter-system mobility / GERAN CS voice to E-UTRA voice / rSRVCC / HO cancelled	Rel-11	C219	UEs supporting E-UTRA and GERAN and IMS voice and rSRVCC and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.38	Inter-system mobility / UTRA CS voice to E-UTRA voice / rSRVCC / HO cancelled	Rel-11	C217	UEs supporting E-UTRA and UTRA and IMS voice and rSRVCC and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.39	Inter-system mobility / UTRA CS voice + PS data to E-UTRA voice + PS data / rSRVCC	Rel-11	C217	UEs supporting E-UTRA and UTRA and IMS voice and IMS and rSRVCC and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.40	Inter-system mobility / UTRA CS voice to E-UTRA voice / rSRVCC / Multiple voice calls with mid-call feature 	Rel-11	C232	UEs supporting E-UTRA and UTRA and IMS voice and IMS and rSRVCC and multiple PDN and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.3.41	Inter-system mobility / E-UTRA PS voice to GSM CS voice / HO cancelled / Notification procedure / SRVCC	Rel-9	C144F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 7 and Feature Group Indicator 9 and Feature Group Indicator 23 and SRVCC from E-UTRAN to GERAN/UTRAN and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" and NOT Category M1	pc_eFDD		Either TC 13.4.3.6 or TC 13.4.3.41 shall be executed (Note 9)	
			C144T		pc_eTDD			
13.4.4.1	Pre-registration at 1xRTT and Cell reselection / 1x Zone Registration	Rel-9	C41	UEs supporting E-UTRA and 1xRTT and 1xCS fallback and not supporting IMS and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.4.2	Pre-registration at 1xRTT and Cell reselection / 1x Ordered Registration	Rel-9	C41	UEs supporting E-UTRA and 1xRTT and 1xCS fallback and not supporting IMS and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.4.4.3	Inter-system session management / Multiple PDN connection establishment in eHRPD pre-registration state	Rel-9	C42F	UEs supporting E-UTRA and HRPD and Feature Group Indicator 12 and Feature Group Indicator 26 and NOT Category M1	pc_eFDD			
			C42T		pc_eTDD			
13.4.4.4	Inter-system session management / Pre-registration at HRPD and Cell reselection / HRPD Zone Registration	Rel-9	C42F	UEs supporting E-UTRA and HRPD and Feature Group Indicator 12 and Feature Group Indicator 26 and NOT Category M1	pc_eFDD			
			C42T		pc_eTDD			
13.4.4.5	Pre-Registration at 1xRTT / Power Down Registration	Rel-9	C116	UEs supporting E-UTRA and 1xRTT and Enhanced 1xCS fallback and not supporting IMS and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.5.1	MTSI MO speech call / SSAC / 0% access probability for MTSI MO speech call	Rel-9	C236	UEs supporting E-UTRA and Initiating session and MTSI speech	pc_eFDD			
					pc_eTDD			
13.5.1a	MTSI MO speech call / SSAC in Connected mode / 0% access probability for MTSI MO speech call	Rel-12	C236	UEs supporting E-UTRA and Initiating session and MTSI speech	pc_eFDD		Note 7	
					pc_eTDD			
13.5.1b	Void							
13.5.2	MTSI MO video call / SSAC / 0% access probability for MTSI MO video call	Rel-9	C237	UEs supporting E-UTRA and Initiating session and MTSI speech and MTSI video and NOT Category M1	pc_eFDD			
					pc_eTDD			
13.5.2a	MTSI MO video call / SSAC in connected mode / 0% access probability for MTSI MO video call	Rel-12	C237	UEs supporting E-UTRA and Initiating session and MTSI speech and MTSI video and NOT Category M1	pc_eFDD		Note 7	
					pc_eTDD			
13.5.2b	Void							
13.5.3	Emergency call / Success / SSAC / 0% access probability for MTSI MO speech call	Rel-9	C71	UEs supporting E-UTRA and IMS emergency call	pc_eFDD			
					pc_eTDD			
13.5.3a	Emergency call / Success / SSAC in connected mode / 0% access probability for MTSI MO speech call	Rel-12	C71	UEs supporting E-UTRA and IMS emergency call	pc_eFDD		Note 7	
					pc_eTDD			
13.5.4	MTSI MO speech call / SCM / 0% access probability skip for MTSI MO speech call	Rel-12	C183	UEs supporting E-UTRA and (PRD IR.92: "IMS Profile for Voice and SMS"or PRD NG.108: "IMS Profile for Voice and SMS for UE category M1")	pc_eFDD		Note 17	
					pc_eTDD			
13.5.5	MTSI MO video call / SCM / 0% access probability skip for MTSI MO video call	Rel-12	C223	UE supporting E-UTRA and MTSI Video call and NOT Category M1	pc_eFDD		Note 17	
					pc_eTDD			
13.5.6	MTSI MO SMS / SCM / 0% access probability skip for MTSI MO SMS over IP	Rel-12	C183	UEs supporting E-UTRA and (PRD IR.92: "IMS Profile for Voice and SMS" or PRD NG.108: "IMS Profile for Voice and SMS for UE category M1")	pc_eFDD		Note 17	
					pc_eTDD			
14	ETWS							
14.1	ETWS reception in RRC_IDLE state / Duplicate detection	Rel-8	C64	UEs supporting E-UTRA and ETWS reception	pc_eFDD			
					pc_eTDD			
14.2	ETWS reception in RRC_CONNECTED state / Duplicate detection	Rel-8	C64	UEs supporting E-UTRA and ETWS reception	pc_eFDD			
					pc_eTDD			
14.3	Void							
15	Mobility management based on DSMIPv6 (Dual-Stack Mobile IPv6)							
15.1	Discovery of the Home Agent via DNS	Rel-8	C34	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6 and being configured to discover the Home Agent address via DNS	pc_eFDD			
					pc_eTDD			
15.2	Discovery of the Home Agent via DHCP	Rel-8	C49	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6 and being configured to discover the Home Agent address via DHCPv6	pc_eFDD			
					pc_eTDD			
15.3	Void							
15.4	Security association establishment with Home Agent reallocation procedure	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.5	Security association establishment without Home Agent reallocation procedure	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.6	Registration of a new IPv6 CoA (Binding Update/Acknowledgment procedure in IPv6 network)	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.7	Registration of a new IPv4 CoA (Binding Update/Acknowledgment procedure in IPv4 network)	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.8	Re-registration of IPv6 CoA	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.9	Re-registration of IPv4 CoA	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.10	Return to home link	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.11	Dual-Stack Mobile IPv6 detach in IPv6 network	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
15.12	Dual-Stack Mobile IPv6 detach in IPv4 network	Rel-8	C35	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6	pc_eFDD			
					pc_eTDD			
17	MBMS in LTE							
17.1.1	MCCH information acquisition/ UE is switched on	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.1.2	MCCH information acquisition/ cell reselection to a cell in a new MBSFN area	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.1.3	MCCH information acquisition/ UE handover to a cell in a new MBSFN area	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.1.4	MCCH information acquisition/ UE is receiving an MBMS service	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.1.5	MCCH information acquisition/ UE is not receiving MBMS data	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.2.1	UE Acquire the MBMS data based on the SIB13 and MCCH message /MCCH and MTCH are on the same MCH	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.2.2	UE Acquire the MBMS data based on the SIB13 and MCCH message /MCCH and MTCH are on different MCHs	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.2.3	UE receives the MBMS data when this data is in the beginning of the MSP	Rel-9	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.2.4	Reception of PDCCH DCI format 0 and PHICH in MBSFN subframes	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
17.3.1	MBMS Counting / UE not receiving MBMS service	Rel-10	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.3.2	MBMS Counting / UE receiving MBMS service	Rel-10	C113	UEs supporting E-UTRA and MBMS	pc_eFDD			
					pc_eTDD			
17.4.1	Cell reselection to intra-frequency cell to continue MBMS service reception	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.1a	Cell reselection to intra-frequency cell to continue MBMS service reception / Single Frequency operation (inter-band neighbouring cell)	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity. This test is 'cells on single frequency only' equivalent of TC 17.4.1	pc_eFDD		Either TC 17.4.1 or TC 17.4.1a shall be executed. (Note 8)	
					pc_eTDD			
17.4.2	Cell reselection to inter- frequency cell to start MBMS service reception	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.2a	Cell reselection to inter- band cell to start MBMS service reception 	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.3	Handover to inter-frequency cell to start MBMS service reception	Rel-11	C113bF	UEs supporting E-UTRA and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity	pc_eFDD			
			C113bT		pc_eTDD			
17.4.3a	Handover to inter-band cell to start MBMS service reception	Rel-11	C113bF	UEs supporting E-UTRA and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity	pc_eFDD			
			C113bT		pc_eTDD			
17.4.4	Handover to intra-frequency cell to continue MBMS service reception	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.5	Conditional retransmission of MBMS Interest Indication after handover	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.6	MBMS Interest Indication retransmission after returning from cell not broadcasting SIB15	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.7	MBMS Interest Indication after Radio Link Failure	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.8	Continued MBMS service reception after E-UTRAN release of unicast bearer	Rel-11	C113a	UEs supporting E-UTRA and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.9.1	CA / Start MBMS reception on Non-Serving Cell / Continue MBMS reception on SCell after SCell addition / Intra-band Contiguous CA	Rel-11	C113cF	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity 	pc_eFDD			
			C113cT		pc_eTDD			
17.4.9.2	CA / Start MBMS reception on Non-Serving Cell / Continue MBMS reception on SCell after SCell addition / Inter-band CA	Rel-11	C113dF	UEs supporting E-UTRA and Inter-band Carrier Aggregation and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity 	pc_eFDD			
			C113dT		pc_eTDD			
17.4.10.1	CA / Start MBMS reception on SCell / Continue MBMS reception on Non-Serving after SCell release / Intra-band Contiguous CA	Rel-11	C113e	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation and MBMS and MBMS service continuity 	pc_eFDD			
					pc_eTDD			
17.4.10.2	CA / Start MBMS reception on SCell / Continue MBMS reception on Non-Serving after SCell release / Inter-band CA	Rel-11	C113f	UEs supporting E-UTRA and Inter-band Carrier Aggregation and MBMS and MBMS service continuity	pc_eFDD			
					pc_eTDD			
17.4.11.1	CA / Start MBMS reception on PCell / Continue MBMS reception after swap of SCell and PCell / Intra-band Contiguous CA	Rel-11	C113cF	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity 	pc_eFDD			
			C113cT		pc_eTDD			
17.4.11.2	CA / Start MBMS reception on PCell / Continue MBMS reception after swap of SCell and PCell / Inter-band CA	Rel-11	C113gF	UEs supporting E-UTRA and Inter-band Carrier Aggregation and Feature Group Indicator 13 and Feature Group Indicator 25 and MBMS and MBMS service continuity 	pc_eFDD			
			C113gT		pc_eTDD			
18	PWS Over LTE							
18.1.1	PWS reception in RRC_IDLE state / Duplicate detection	Rel-9	C129	UEs supporting E-UTRA and CMAS	pc_eFDD		Note 3	
18.1.2	PWS reception in RRC_CONNECTED state / Duplicate detection	Rel-9	C129	UEs supporting E-UTRA and CMAS	pc_eFDD		Note 3	
18.1.3	PWS reception in RRC_CONNECTED State/Power On	Rel-9	C129	UEs supporting E-UTRA and CMAS	pc_eFDD		Note 3	
19	Device to Device Proximity Service 							
19.1.1	ProSe direct Communication /Pre-configured authorisation / UE in RRC_IDLE on an E-UTRAN cell operating on the carrier frequency provisioned for ProSe direct service / Utilisation of the resources of (serving) cells/PLMNs / Transmission	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.2	ProSe direct Communication /Pre-configured authorisation / UE in RRC_IDLE on an E-UTRAN cell operating on the carrier frequency provisioned for ProSe direct service / Utilisation of the resources of (serving) cells/PLMNs / Reception	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.3	ProSe Direct Communication/Pre-configured authorisation / UE in RRC_CONNECTED on an E-UTRAN cell operating on the carrier frequency provisioned for ProSe direct service / Utilisation of the resources of (serving) cells/PLMNs / Transmission / RRC connection reconfiguration with/without mobilityControlInfo / RRC connection re-establishment	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.4	ProSe Direct Communication/Pre-configured authorisation / UE in RRC_CONNECTED on an E-UTRAN cell operating on the carrier frequency provisioned for ProSe direct service / Utilisation of the resources of (serving) cells/PLMNs / Reception / RRC connection reconfiguration with mobilityControlInfo / RRC connection re-establishment	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.5	ProSe Direct Communication/Pre-configured authorisation / UE camped on an E-UTRAN cell not operating on the carrier frequency provisioned for ProSe direct service / Utilisation of the resources of (not serving) cells/PLMNs / Transmission and Reception	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication. Note: This test is not applicable to bands which have 'cells on single frequency only'.	pc_eFDD			
19.1.6	ProSe Direct Communication/Pre-configured authorisation / UE out of coverage on the frequency used for sidelink communication / Transmission and Reception / Operation with/without SyncRef UE / Usage information report list sending procedure	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.7	Void							
19.1.8	ProSe Direct Communication/Security Aspects / Release of PDN Connection used to receive MIKEY Messages/ Correct Key Request Message/ MIKEY Verification Message	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.9	ProSe Direct Communication/Pre-configured authorisation / UE out of coverage on the frequency used for sidelink communication / Isolated one-to-one ProSe direct communication / Success/Direct link keepalive/Release upon User request / MO	Rel-13	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
19.1.10	ProSe Direct Communication/Pre-configured authorisation / UE out of coverage on the frequency used for sidelink communication / Isolated one-to-one ProSe direct communication / Success/Direct link keepalive/Release upon User request / MT	Rel-13	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
