Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	7-bit data, basic icon non self-explanatory, no alpha identifier presented	R99	2.4	C187 AND C204	C187 AND C204	C187 AND C204	C187 AND C204	C187 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	C187 AND C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 in Cyrillic	R99	3.1	C118 AND C204	C118 AND C204	C118 AND C204	C118 AND C204	C118 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	C118 AND C183 AND C204	E.1/28 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – left alignment	Rel-5	4.1			C153 AND C204	C153 AND C204	C153 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	C153 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	4.2			C154 AND C204	C154 AND C204	C154 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	C154 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	4.3			C155 AND C204	C155 AND C204	C155 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	C155 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	4.4			C157AND C156 AND C204	C157AND C156 AND C204	C157AND C156 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	C157 AND C156 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	4.5			C158AND C156 AND C204	C158AND C156 AND C204	C158AND C156 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	C158 AND C156 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C204	C160 AND C159 AND C204	C160 AND C159 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	C160 AND C159 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C204	C161 AND C159 AND C204	C161 AND C159 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	C161 AND C159 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	4.8			C162 AND C159 AND C204	C162 AND C159 AND C204	C162 AND C159 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	C162 AND C159 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C204	C163 AND C159 AND C204	C163 AND C159 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	C163 AND C159 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165 AND C204	C164 AND C165 AND C204	C164 AND C165 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	C164 AND C165 AND C183 AND C204	E.1/28 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 in Chinese	R99	5.1			C143 AND C204	C143 AND C204	C143 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	C143 AND C183 AND C204	E.1/28 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 in Katakana	R99	6.1			C145 AND C204	C145 AND C204	C145 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	C145 AND C183 AND C204	E.1/28 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
16	SET UP CALL 27.22.4.13																		
	Call confirmed by the user and connected 	R99	1.1	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	call rejected by the user	R99	1.2	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	void															E.1/29			
	putting all other calls on hold, ME busy	R99	1.4	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	disconnecting all other calls, ME busy	R99	1.5	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	only if not currently busy on another call, ME busy	R99	1.6	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	putting all other calls on hold, call hold is not allowed	R99	1.7	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	C170 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Capability configuration	R99	1.8	C101 AND C177 AND C178 AND C180	C101 AND C177 AND C178 AND C180	C101 AND C177 AND C178 AND C180	C101 AND C177 AND C178 AND C180	C101 AND C177 AND C178 AND C180	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	C101 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	long dialling number string	R99	1.9	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	long first alpha identifier	R99	1.10	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Called party subaddress	R99	1.11	C124 AND C177 AND C178 AND C180	C124 AND C177 AND C178 AND C180	C124 AND C177 AND C178 AND C180	C124 AND C177 AND C178 AND C180	C124 AND C177 AND C178 AND C180	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	C124 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	maximum duration for the redial mechanism	R99	1.12	C119 AND C177 AND C178 AND C180	C119 AND C177 AND C178 AND C180	C119 AND C177 AND C178 AND C180	C119 AND C177 AND C178 AND C180	C119 AND C177 AND C178 AND C180	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	C119 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	second alpha identifier	R99	2.1	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/63 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Icons – basic icon	R99	3.1,3.2, 3.4	C108 AND C177 AND C178 AND C180	C108 AND C177 AND C178 AND C180	C108 AND C177 AND C178 AND C180	C108 AND C177 AND C178 AND C180	C108 AND C177 AND C178 AND C180	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	C108 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Icons – colour icon	R99	3.3	C171 AND C177 AND C178 AND C180	C171 AND C177 AND C178 AND C180	C171 AND C177 AND C178 AND C180	C171 AND C177 AND C178 AND C180	C171 AND C177 AND C178 AND C180	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	C171 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – left alignment	Rel-5	4.1			C153 AND C177 AND C178 AND C180	C153 AND C177 AND C178 AND C180	C153 AND C177 AND C178 AND C180	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	C153 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – center alignment	Rel-5	4.2			C154 AND C177 AND C178 AND C180	C154 AND C177 AND C178 AND C180	C154 AND C177 AND C178 AND C180	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	C154 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – right alignment	Rel-5	4.3			C155 AND C177 AND C178 AND C180	C155 AND C177 AND C178 AND C180	C155 AND C177 AND C178 AND C180	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	C155 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – large font size	Rel-5	4.4			C157AND C156 AND C177 AND C178 AND C180	C157AND C156 AND C177 AND C178 AND C180	C157AND C156 AND C177 AND C178 AND C180	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	C157AND C156 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – small font size	Rel-5	4.5			C158AND C156 AND C177 AND C178 AND C180	C158AND C156 AND C177 AND C178 AND C180	C158AND C156 AND C177 AND C178 AND C180	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	C158AND C156 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C177 AND C178 AND C180	C160 AND C159 AND C177 AND C178 AND C180	C160 AND C159 AND C177 AND C178 AND C180	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	C160 AND C159 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C177 AND C178 AND C180	C161 AND C159 AND C177 AND C178 AND C180	C161 AND C159 AND C177 AND C178 AND C180	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	C161 AND C159 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – underline on	Rel-5	4.8			C162 AND C159 AND C177 AND C178 AND C180	C162 AND C159 AND C177 AND C178 AND C180	C162 AND C159 AND C177 AND C178 AND C180	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	C162 AND C159 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C177 AND C178 AND C180	C163 AND C159 AND C177 AND C178 AND C180	C163 AND C159 AND C177 AND C178 AND C180	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	C163 AND C159 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165 AND C177 AND C178 AND C180	C164 AND C165 AND C177 AND C178 AND C180	C164 AND C165 AND C177 AND C178 AND C180	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	C164 AND C165 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UCS2 Display in Cyrillic	R99	5.1, 5.2.			C118 AND C177 AND C178 AND C180	C118 AND C177 AND C178 AND C180	C118 AND C177 AND C178 AND C180	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	C118 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/15 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UCS2 display in Chinese	R99	6.1, 6.2			C143 AND C177 AND C178 AND C180	C143 AND C177 AND C178 AND C180	C143 AND C177 AND C178 AND C180	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	C143 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/15 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UCS2 display in Katakana	R99	7.1, 7.2			C145 AND C177 AND C178 AND C180	C145 AND C177 AND C178 AND C180	C145 AND C177 AND C178 AND C180	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	C145 AND C177 AND C178 AND C180 AND C183	E.1/29 AND E.1/15 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Frames	Rel-6	TBD													E.1/29 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
17	POLLING OFF 27.22.4.14																		
	POLLING OFF	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C183	C183	C183	E.1/23	UMTS System Simulator or System Simulator only		
	POLLING OFF, E-UTRAN	Rel-8	1.2						C190	C190	C190	C190	C190	C222	C222	E.1/23	E-USSor NB-SS (See NOTE)  		
18	PROVIDE LOCAL INFORMATION 27.22.4.15																		
	location information	R99	1.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/31	Yes		AER003
	IMEI	R99	1.2	M	M	M	M	M	M	M	M	M	M	M	M	E.1/31	No		
	network measurement results and BCCH channel list	R99	1.3	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	E.1/32 AND E.1/67	System Simulator only		
	Date, time and time zone	R99	1.4	M	M	M	M	M	M	M	M	M	M	M	M	E.1/59	No		
	language setting	R99	1.5	C217	C217	C217	C217	C217	C217	C217	C217	C217	C217	C217	C217	E.1/68	No		
	Timing advance	R99	1.6	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	C167	E.1/69	System Simulator only		
	Access Technology	Rel-4	1.7				M	M	C184	C184	C184	C184	C184	C184	C184	E.1/72	UMTS System Simulator only		AER004
	Void																		
	IMEISV	Rel-6	1.9				M	M	M	M	M	M	M	M	M	E.1/143	No		
	Network Search Mode	Rel-6	1.10							M	M	M	M	M	M	E.1/144	E-USS, UMTS System Simulator or System Simulator		
	Charge State of the Battery	Rel-6	1.11				C139	C139	C139	C139	C139	C139	C139	C139	C139	E.1/170	No		
	Intra-frequency UTRAN measurements	Rel-6	1.12				M	M	C184	C184	C184	C184	C184	C184	C184	E.1/183	UMTS System Simulator only		
	Inter-frequency UTRAN measurements	Rel-6	1.13				M	M	C184	C184	C184	C184	C184	C184	C184	E.1/183	UMTS System Simulator only		
	Access Technology, E-UTRAN	Rel-8	1.14						C190	C190	C190	C190	C190	C222	C222	E.1/72	E-USS or NB-SS (See NOTE) 		
	E-UTRAN Intra-Frequency Measurements	Rel-8	1.15						C190	C190	C190	C190	C190	C190	C190	E.1/183	E-USS only		
	E-UTRAN Intrer-Frequency Measurements	Rel-8	1.16						C190	C190	C190	C190	C190	C190	C190	E.1/183	E-USS only		
	E-UTRAN Local Info (MCC, MNC, TAC & E-UTRAN Cell ID)	Rel-8	1.17						C190	C190	C190	C190	C190	C190	C222	E.1/31 AND E.1/135	E-USS or NB-SS (See NOTE)		
	Discovery of surrounding CSG cells	Rel-9	1.18							C195	C195	C195	C195	C195	C195	E.1/242	E-USS only		
	Location Information for multiple Access Technologies 	Rel-8	1.19						TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD		
	NMR for multiple Access Technologies 	Rel-8	1.20						TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD		
	Current access technologies, multiple Access Technologies 	Rel-8	1.21						TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD		
19	SET UP EVENT LIST 27.22.4.16																		
	Set up call connected event	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/33 AND E.1/35	UMTS System Simulator or System Simulator only		
	Replace by new event list	R99	1.2	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/33 AND E.1/35 AND E.1/36	UMTS System Simulator or System Simulator only		
	Remove event	R99	1.3	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/33 AND E.1/35	UMTS System Simulator or System Simulator only		
	Remove Event on ME Power Cycle	R99	1.4	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/33 AND E.1/35	UMTS System Simulator or System Simulator only		
20	PERFORM CARD APDU 27.22.4.17																		
	Additional card inserted, Select MF and Get Response	R99	1.1	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/51	No		
	Additional card inserted, Select DF GSM, Select EF PLMN , Update Binary, Read Binary on EF PLMN	R99	1.2	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/51	No		
	Additional card inserted, card powered off	R99	1.3	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/51	No		
	No card inserted, card powered off	R99	1.4	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/51	No		
	Invalid card reader identifier	R99	1.5	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/51	No		
	Detachable reader	R99	2.1	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	E.1/51	No		
21	POWER OFF CARD 27.22.4.18																		
	Additional card inserted	R99	1.1	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/50	No		
