Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
8.16.72	5DL TDD CA Event Triggered Reporting with Deactivated SCells in Non-DRX	Rel-11	C173	UE supporting E-UTRA TDD and 5DL with Intra-band contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Intra-band contiguous CA and Feature Group Indicator 111			2Rx, 4Rx
		Rel-12	C174	UE supporting E-UTRA TDD and 5DL with Intra-band contiguous CA, or 5DL with Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
8.18.1	E-UTRAN TDD-HRPD event triggered reporting under fading propagation conditions	Rel-9	C40	UE supporting E-UTRA TDD and cdma2000 HRPD and Feature Group Indicator 15			2Rx, 4Rx
8.19.1	E-UTRAN TDD-CDMA2000 1X event triggered reporting under fading propagation conditions	Rel-9	C41	UE supporting E-UTRA TDD and cdma2000 1xRTT and Feature Group Indicator 15			2Rx, 4Rx
8.20.1	E-UTRAN FDD-FDD Inter-frequency event triggered reporting under fading propagation conditions in asynchronous cells	Rel-10	C18	UE supporting E-UTRA FDD and CA			2Rx, 4Rx
8.20.2	E-UTRAN TDD-TDD Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 8.20.2 or TC 8.20.2A or TC 8.20.2B shall be executed. (Note 1)		2Rx, 4Rx
8.20.2A	E-UTRAN TDD-TDD Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells for 20 MHz +20 MHz bandwidth	Rel-10	C19a	UE supporting E-UTRA TDD and CA	Either TC 8.20.2 or TC 8.20.2A or TC 8.20.2B shall be executed. (Note 1)		2Rx, 4Rx
8.20.2B	E-UTRAN TDD-TDD Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells for 20 MHz +10 MHz bandwidth	Rel-10	C19b	UE supporting E-UTRA TDD and CA	Either TC 8.20.2 or TC 8.20.2A or TC 8.20.2B shall be executed. (Note 1)		2Rx, 4Rx
8.20.3	E-UTRAN FDD - UTRAN FDD event triggered reporting under fading propagation conditions	Rel-10	C43	UE supporting E-UTRA FDD, CA and UTRA FDD and Feature Group Indicator 15			2Rx, 4Rx
8.20.4	E-UTRAN TDD to UTRAN TDD cell search under fading propagation conditions	Rel-10	C44	UE supporting E-UTRA TDD, CA and UTRA TDD and Feature Group Indicator 15	Either TC 8.20.4 or TC 8.20.4A or TC 8.20.4B shall be executed. (Note 1)		2Rx, 4Rx
8.20.4A	E-UTRAN TDD to UTRAN TDD cell search under fading propagation conditions for 20 MHz + 20 MHz bandwidth	Rel-10	C44a	UE supporting E-UTRA TDD, CA and UTRA TDD and Feature Group Indicator 15	Either TC 8.20.4 or TC 8.20.4A or TC 8.20.4B shall be executed. (Note 1)		2Rx, 4Rx
8.20.4B	E-UTRAN TDD to UTRAN TDD cell search under fading propagation conditions for 20 MHz + 10 MHz bandwidth	Rel-10	C44b	UE supporting E-UTRA TDD, CA and UTRA TDD and Feature Group Indicator 15	Either TC 8.20.4 or TC 8.20.4A or TC 8.20.4B shall be executed. (Note 1)		2Rx, 4Rx
8.22.1	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells in DRX based on CRS based discovery signal	Rel-12	C01ch	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicator 5			
8.22.2	E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX	Rel-12	C02ch	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicator 5			
8.22.3	E-UTRAN FDD-FDD inter-frequency event triggered reporting under fading propagation conditions in DRX based on CRS based discovery signal	Rel-12	C01eh	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicators 5 and 25			
8.22.4	E-UTRAN TDD-TDD inter-frequency event triggered reporting under fading propagation conditions in DRX based on CRS based discovery signal	Rel-12	C02eh	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicators 5 and 25			
8.22.5	E-UTRAN FDD-FDD intra-frequency event triggered reporting in DRX based on CSI-RS based discovery signal	Rel-12	C97	UE supporting E-UTRA FDD and CSI-RS based discovery signals measurement and Feature Group Indicator 5			
8.22.6	E-UTRAN TDD-TDD intra-frequency event triggered reporting in DRX based on CSI-RS based discovery signal	Rel-12	C98	UE supporting E-UTRA TDD and CSI-RS based discovery signals measurement and Feature Group Indicator 5			
8.22.7	E-UTRAN FDD-FDD Inter-frequency event triggered reporting in DRX based on CSI-RS based discovery signal	Rel-12	C99	UE supporting E-UTRA FDD and CSI-RS based discovery signals measurement and Feature Group Indicators 5 and 25			
8.22.8	E-UTRAN TDD-TDD inter-frequency event triggered reporting under fading propagation condition in DRX based on CSI-RS based discovery signal	Rel-12	C100	UE supporting E-UTRA TDD and CSI-RS based discovery signals measurement and Feature Group Indicators 5 and 25			
8.22.9	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX based on CRS based discovery signal	Rel-12	C126	UE supporting E-UTRA FDD and CA and CRS based discovery signal measurement and Feature Group Indicators 111			
8.22.10	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX based on CRS based discovery signal	Rel-12	C126	UE supporting E-UTRA TDD and CA and CRS based discovery signal measurement and Feature Group Indicators 111			
8.22.11	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX based on CSI-RS based discovery signal	Rel-12	C118	UE supporting E-UTRA FDD and CA and CSI-RS based discovery signal measurement			
8.22.12	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX based on CSI-RS based discovery signal	Rel-12	C119	UE supporting E-UTRA TDD and CA and CSI-RS based discovery signal measurement			
8.23.1	E-UTRAN FDD-FDD DC intra-frequency event triggered reporting with DRX in synchronous DC	Rel-12	C134	UE supporting E-UTRA FDD, Dual Connectivity and Feature Group Indicator 5	It is not necessary for DC ASYNCH UEs to be tested in this test if 8.23.2 case is executed. (Note 2)		
8.23.2	E-UTRAN FDD-FDD DC intra-frequency event triggered reporting with DRX in asynchronous DC	Rel-12	C135	UE supporting E-UTRA FDD, Dual Connectivity Asynch and Feature Group Indicator 5			
8.23.3	E-UTRAN TDD-TDD DC intra-frequency event triggered reporting with DRX in synchronous DC	Rel-12	C136	UE supporting E-UTRA TDD, Dual Connectivity and Feature Group Indicator 5			
8.23.4	E-UTRAN FDD-FDD DC inter-frequency event triggered reporting with DRX in synchronous DC	Rel-12	C137	UE supporting E-UTRA FDD, Dual Connectivity and Feature Group Indicator 5 and 25	It is not necessary for DC ASYNCH UEs to be tested in this test if 8.23.5 case is executed. (Note 2)		
8.23.5	E-UTRAN FDD-FDD DC inter-frequency event triggered reporting with DRX in asynchronous DC	Rel-12	C138	UE supporting E-UTRA FDD, Dual Connectivity Asynch and Feature Group Indicator 5 and 25			
8.23.6	E-UTRAN TDD-TDD DC inter-frequency event triggered reporting with DRX in synchronous DC	Rel-12	C139	UE supporting E-UTRA TDD, Dual Connectivity and Feature Group Indicator 5 and 25			
8.23.7	E-UTRAN FDD-FDD Addition and Release Delay of known PSCell in Synchronous DC	Rel-12	C176	UE supporting E-UTRA FDD, Dual Connectivity	It is not necessary for DC ASYNCH UEs to be tested in this test if 8.23.2 case is executed. (Note 2)		
8.23.8	E-UTRAN FDD-FDD Addition and Release Delay of known PSCell in Asynchronous DC	Rel-12	C177	UE supporting E-UTRA FDD, Dual Connectivity Asynch			
8.23.9	E-UTRAN TDD Addition and Release Delay of known PSCell in Synchronous DC	Rel-12	C178	UE supporting E-UTRA TDD, Dual Connectivity			
8.25.1	E-UTRAN FDD-WLAN Event Triggered Reporting in non-DRX under AWGN	Rel-13	C179	UE supporting E-UTRA FDD and WLAN Aggregation 			
8.25.2	E-UTRAN TDD-WLAN Event Triggered Reporting in non-DRX under AWGN	Rel-13	C180	UE supporting E-UTRA TDD and WLAN Aggregation			
8.26.1	E-UTRAN FDD-FS3 Activation and deactivation of known FS3 SCell with FDD PCell in non-DRX	Rel-13	C144	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 25			
8.26.2	E-UTRAN TDD-FS3 Activation and deactivation of known FS3 SCell with TDD PCell in non-DRX	Rel-13	C159	UE supporting E-UTRA TDD and downlink LAA and Feature Group Indicator 25			
8.26.3	 E-UTRAN FDD-FS3 Event triggered reporting on deactivated FS3 SCell and FDD PCell interruption in non-DRX 	Rel-13	C145	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 111	It is not necessary for LAA UEs to execute this test if 8.26.3A case is executed (Note 3)		
8.26.3A	E-UTRAN FDD-FS3 3DL Event triggered reporting on deactivated FS3 SCell and FDD PCell interruption in non-DRX	Rel-13	C144a	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 111			
8.26.4	E-UTRAN TDD-FS3 Event triggered reporting on deactivated FS3 SCell and TDD PCell interruption in non-DRX	Rel-13	C160	UE supporting E-UTRA TDD and downlink LAA and Feature Group Indicator 111	It is not necessary for LAA UEs to execute this test if 8.26.4X case is executed (Note 3)		
8.26.5	E-UTRAN FDD-FS3 Intra-frequency event triggered reporting in non-DRX for CRS based discovery signal	Rel-13	C153	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and CRS based discovery signals Feature Group Indicator 111	It is not necessary for LAA UEs to execute this test if 8.26.5A case is executed (Note 3)		
8.26.5A	E-UTRAN FDD-FS3 Intra-frequency event triggered reporting in non-DRX for CRS based discovery signal with 2 SCells	Rel-13	C153a	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and CRS based discovery signals Feature Group Indicator 111			
8.26.6	E-UTRAN TDD-FS3 Intra-frequency event triggered reporting in non-DRX for CRS based discovery signal	Rel-13	C146	UE supporting E-UTRA TDD and downlink LAA and CRS based discovery signals and Feature Group Indicator 111	It is not necessary for LAA UEs to execute this test if 8.26.6A case is executed (Note 3)		
8.26.6A	E-UTRAN TDD-FS3 Intra-frequency event triggered reporting in non-DRX for CRS based discovery signal with 2 SCells	Rel-13	C146a	UE supporting E-UTRA TDD and downlink LAA CRS based discovery signals and Feature Group Indicator 111			
8.26.9	E-UTRAN FDD-FS3 Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-13	C147	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 5			
8.26.10	E-UTRAN TDD-FS3 Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-13	C148	UE supporting E-UTRA TDD and downlink LAA and Feature Group Indicator 5			
Measurement Performance Requirements	
9.1.1.1	FDD Intra Frequency Absolute RSRP Accuracy	Rel-8 to Rel-11	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.1.1_1	FDD Intra Frequency Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.1.1_2	FDD Intra frequency Absolute RSRP accuracy for UE category 1bis	Rel-13	C01k	UE supporting E-UTRA FDD and UE Category 1bis and Feature Group Indicator 16			
9.1.1.2	FDD Intra Frequency Relative Accuracy of RSRP	Rel-8	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.1.2_2	FDD Intra Frequency Relative Accuracy of RSRP for UE category 1bis	Rel-13	C01k	UE supporting E-UTRA FDD and UE Category 1bis and Feature Group Indicator 16			
9.1.2.1	TDD Intra Frequency Absolute RSRP Accuracy	Rel-8 to Rel-11	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.2.1_1	TDD Intra Frequency Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.2.1_2	TDD Intra Frequency Absolute RSRP Accuracy for UE category 1bis	Rel-13	C02k	UE supporting E-UTRA TDD and UE Category 1bis and Feature Group Indicator 16			
9.1.2.2	TDD Intra Frequency Relative Accuracy of RSRP	Rel-8	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.1.2.2_2	TDD Intra Frequency Relative Accuracy of RSRP for UE category 1bis	Rel-13	C02k	UE supporting E-UTRA TDD and UE Category 1bis and Feature Group Indicator 16			
9.1.3.1	FDD - FDD Inter Frequency Absolute RSRP Accuracy	Rel-8 to Rel-11	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.3.1_1	FDD - FDD Inter Frequency Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.3.1_2	FDD - FDD Inter Frequency Absolute RSRP Accuracy for UE category 1bis	Rel-13	C01l	UE supporting E-UTRA FDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.3.2	FDD - FDD Inter Frequency Relative Accuracy of RSRP	Rel-8 to Rel-11	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.3.2_1	FDD - FDD Inter Frequency Relative Accuracy of RSRP (Rel-12 and forward)	Rel-12	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.3.2_2	FDD - FDD Inter Frequency Relative Accuracy of RSRP for UE category 1bis 	Rel-13	C01l	UE supporting E-UTRA FDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.4.1	TDD - TDD Inter Frequency Absolute RSRP Accuracy	Rel-8 to Rel-11	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.4.1_1	TDD - TDD Inter Frequency Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.4.1_2	TDD - TDD Inter Frequency Absolute RSRP Accuracy for UE category 1bis	Rel-13	C02l	UE supporting E-UTRA TDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.4.2	TDD - TDD Inter Frequency Relative Accuracy of RSRP	Rel-8 to Rel-11	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.4.2_1	TDD - TDD Inter Frequency Relative Accuracy of RSRP (Rel-12 and forward)	Rel-12	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.4.2_2	TDD - TDD Inter Frequency Relative Accuracy of RSRP for UE category 1bis	Rel-13	C02l	UE supporting E-UTRA TDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.5.1	FDD - TDD Inter Frequency Absolute RSRP Accuracy	Rel-9 to Rel-11	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.5.1_1	FDD - TDD Inter Frequency Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.5.1_2	FDD - TDD Inter Frequency Absolute RSRP Accuracy for UE category 1bis	Rel-13	C42a	UE supporting E-UTRA FDD and E-UTRA TDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.5.2	FDD - TDD Inter Frequency Relative Accuracy of RSRP	Rel-9 to Rel-11	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.5.2_1	FDD - TDD Inter Frequency Relative Accuracy of RSRP (Rel-12 and forward)	Rel-12	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.1.5.2_2	FDD - TDD Inter Frequency Relative Accuracy of RSRP for UE category 1bis	Rel-13	C42a	UE supporting E-UTRA FDD and E-UTRA TDD and UE category 1bis and Feature Group Indicators 16 and 25			
9.1.6.1	FDD Absolute RSRP Accuracy E-UTRA for Carrier Aggregation	Rel-10 and Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1 or TC 9.1.12.1 or TC 9.1.18.1 or TC 9.1.20.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.6.1_1	FDD Absolute RSRP Accuracy E-UTRA for Carrier Aggregation (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1_1 or TC 9.1.12.1_1 or TC 9.1.18.1_1 or TC 9.1.20.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.6.2	FDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation	Rel-10 and Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2 or TC 9.1.12.2 or TC 9.1.18.2 or TC 9.1.20.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.6.2_1	FDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2_1 or TC 9.1.12.2_1 or TC 9.1.18.2_1 or TC 9.1.20.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.7.1	TDD Absolute RSRP Accuracy E-UTRA for Carrier Aggregation	Rel-10 and Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1 or TC 9.1.13.1 or TC 9.1.19.1 or TC 9.1.21.1 or TC 9.1.24.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.7.1_1	TDD Absolute RSRP Accuracy E-UTRA for Carrier Aggregation (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1_1 or TC 9.1.13.1_1 or TC 9.1.19.1_1 or TC 9.1.21.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.7.2	TDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation	Rel-10 and Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2 or TC 9.1.13.2 or TC 9.1.19.2 or TC 9.1.21.2 or TC 9.1.24.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.7.2_1	TDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2_1 or TC 9.1.13.2_1 or TC 9.1.19.2_1 or TC 9.1.21.2_1 or TC 9.1.24.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.8.1	FDD Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10 and Rel-11 only	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.8.1_1	FDD Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC) (Rel-12 and forward)	Rel-12	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.8.2	FDD Relative RSRP under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.9.1	TDD Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10 and Rel-11 only	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.9.1_1	TDD Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC) (Rel-12 and forward)	Rel-12	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.9.2	TDD Relative RSRP under Time-Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.10.1	FDD Absolute RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10 and Rel-11 only	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.10.1_1	FDD Absolute RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC) (Rel-12 and forward)	Rel-12	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.10.2	FDD Relative RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.1.11.1	TDD Absolute RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10 and Rel-11 only	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.11.1_1	TDD Absolute RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC) (Rel-12 and forward)	Rel-12	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.11.2	TDD Relative RSRP under Time-Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.1.12.1	FDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz	Rel-10 and Rel-11 only	C18a	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1 or TC 9.1.12.1 or TC 9.1.18.1 or TC 9.1.20.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.12.1_1	FDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz (Rel-12 and forward)	Rel-12	C18a	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1_1 or TC 9.1.12.1_1 or TC 9.1.18.1_1 or TC 9.1.20.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.12.2	FDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz	Rel-10 and Rel-11 only	C18a	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2 or TC 9.1.12.2 or TC 9.1.18.2 or TC 9.1.20.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.12.2_1	FDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz (Rel 12 and forward)	Rel-12	C18a	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2_1 or TC 9.1.12.2_1 or TC 9.1.18.2_1 or TC 9.1.20.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.13.1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz	Rel-10 and Rel-11 only	C19a	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1 or TC 9.1.13.1 or TC 9.1.19.1 or TC 9.1.21.1 or TC 9.1.24.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.13.1_1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz (Rel-12 and forward)	Rel-12	C19a	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1_1 or TC 9.1.13.1_1 or TC 9.1.19.1_1 or TC 9.1.21.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.13.2	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz	Rel-10 and Rel-11 only	C19a	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2 or TC 9.1.13.2 or TC 9.1.19.2 or TC 9.1.21.2 or TC 9.1.24.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.13.2_1	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20 MHz (Rel-12 and forward)	Rel-12	C19a	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2_1 or TC 9.1.13.2_1 or TC 9.1.19.2_1 or TC 9.1.21.2_1 or TC 9.1.24.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.14.1	FDD Intra Frequency Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11 only	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
9.1.14.1_1	FDD Intra Frequency Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC) (Rel-12 and forward)	Rel-12	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
9.1.14.2	FDD Intra Frequency Relative RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
9.1.15.1	TDD Intra Frequency Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11 only	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
9.1.15.1_1	TDD Intra Frequency Absolute RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC) (Rel-12 and forward)	Rel-12	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
9.1.15.2	TDD Intra Frequency Relative RSRP Accuracy under Time-Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
9.1.16.1	FDD Intra Frequency Absolute RSRP Accuracy for 5MHz Bandwidth	Rel-8 to Rel-11	C50	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicator 16			
9.1.16.1_1	FDD Intra Frequency Absolute RSRP Accuracy for 5MHz Bandwidth (Rel-12 and forward)	Rel-12	C50	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicator 16			
9.1.16.2	FDD Intra Frequency Relative Accuracy of RSRP for 5MHz Bandwidth	Rel-8	C50	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicator 16			
9.1.17.1	FDD - FDD Inter Frequency Absolute RSRP Accuracy for 5MHz Bandwidth	Rel-8 to Rel-11	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.1.17.1_1	FDD - FDD Inter Frequency Absolute RSRP Accuracy for 5MHz Bandwidth (Rel-12 and forward)	Rel-12	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.1.17.2	FDD - FDD Inter Frequency Relative Accuracy of RSRP for 5MHz Bandwidth	Rel-8 to Rel-11	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.1.17.2_1	FDD - FDD Inter Frequency Relative Accuracy of RSRP for 5MHz Bandwidth (Rel-12 and forward)	Rel-12	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.1.18.1	FDD Absolute RSRP Accuracy for E-UTRA for Carrier Aggregation for 10MHz + 5MHz	Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1 or TC 9.1.12.1 or TC 9.1.18.1 or TC 9.1.20.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.18.1_1	FDD Absolute RSRP Accuracy for E-UTRA for Carrier Aggregation for 10MHz + 5MHz (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1_1 or TC 9.1.12.1_1 or TC 9.1.18.1_1 or TC 9.1.20.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.18.2	FDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation for 10MHz + 5MHz	Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2 or TC 9.1.12.2 or TC 9.1.18.2 or TC 9.1.20.2 shall be executed. (Note 1)		2Rx, 4Rx
