Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
8.10.1.2.2	TDD PDSCH Open Loop Spatial Multiplexing 2x4	Rel-10	C198	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.3	TDD PDSCH Closed Loop Single Layer Spatial Multiplexing 2x4 with TM4 Interference Model – Enhanced Performance Requirement Type A	Rel-11	C198a	UE supporting E-UTRA TDD with 4Rx antenna ports and the enhanced performance requirements type A for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.4	TDD PDSCH Closed Loop Spatial Multiplexing 4x4	Rel-10	C198	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.5 	TDD PDSCH Single-layer Spatial Multiplexing 2x4 on antenna ports 7 or 8 with TM9 interference model – Enhanced Performance Requirement Type A	Rel-11	C198c	UE supporting E-UTRA TDD with 4Rx antenna ports and the enhanced performance requirements type A for LTE and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.6	TDD Dual-Layer Spatial Multiplexing 2x4 (User-Specific Reference Symbols)	Rel-10	C198b	UE supporting E-UTRA TDD with 4Rx antenna ports and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.7	TDD Open-loop spatial multiplexing, 3 Layer Multiplexing with 4 Tx Antenna Ports	Rel-10	C235	UE supporting E-UTRA TDD with 4Rx antenna ports and 3-layer spatial multiplexing	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.8	TDD Closed-loop spatial multiplexing performance, 4 Layers spatial multiplexing 4 Tx antennas	Rel-10	C235	UE supporting E-UTRA TDD with 4Rx antenna ports and 4-layer spatial multiplexing	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.1.2.9	TDD 4 Layer Spatial Multiplexing (User-Specific Reference Symbols)	Rel-10	C183	UE supporting E-UTRA FDD and Feature Group Indicator 103 and 4Rx antenna ports 	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.1.1	FDD PCFICH/PDCCH Single-antenna Port Performance 1x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.1.2	FDD PCFICH/PDCCH Transmit Diversity Performance 2x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.1.3	FDD PCFICH/PDCCH Transmit Diversity Performance 4x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.2.1	TDD PCFICH/PDCCH Single-antenna Port Performance 1x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.2.2	TDD PCFICH/PDCCH Transmit Diversity Performance 2x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.2.2.3	TDD PCFICH/PDCCH Transmit Diversity Performance 4x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.1.1	FDD PHICH Single-antenna Port Performance 1x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.1.2	FDD PHICH Transmit Diversity Performance 2x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.1.3	FDD PHICH Transmit Diversity Performance 4x4	Rel-10	C113b	UE supporting E-UTRA FDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.2.1	TDD PHICH Single-antenna Port Performance 1x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.2.2	TDD PHICH Transmit Diversity Performance 2x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.3.2.3	TDD PHICH Transmit Diversity Performance 4x4	Rel-10	C184	UE supporting E-UTRA TDD with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.4.1.1	FDD distributed EPDCCH performance 2x4	Rel-10	C164	UE supporting E-UTRA FDD and EPDCCH with 4Rx antenna ports 	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.4.1.2	TDD distributed EPDCCH performance 2x4	Rel-10	C165	UE supporting E-UTRA TDD and EPDCCH with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.4.2.1	FDD localized EPDCCH performance with TM9 2x4	Rel-10	C166	UE supporting E-UTRA FDD and EPDCCH and Feature Group Indicator 103 with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.10.4.2.2	TDD localized EPDCCH performance with TM9 2x4	Rel-10	C167	UE supporting E-UTRA TDD and EPDCCH and Feature Group Indicator 103 with 4Rx antenna ports	Each "Test Number" to be performed once, in a chosen band supporting tested BW and 4Rx antenna ports		
8.11.1.1.1	FDD and half-duplex FDD Closed-loop spatial multiplexing performance for UE category M1	Rel-13	C145a	UE supporting E-UTRA FDD and UE category M1	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.1.2	FDD and half-duplex FDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 for UE category M1	Rel-13	C145d	UE supporting E-UTRA FDD and UE category M1 and TM9 in CE Mode A	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.1.3.1	FDD and half-duplex FDD PDSCH Transmit Diversity 2x1 for UE category M1	Rel-13	C145a	UE supporting E-UTRA FDD and UE category M1	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.1.3.1_1	FDD and half-duplex FDD PDSCH Transmit Diversity 2x1 for UE category M1 (CEmodeB)	Rel-13	C156c	UE supporting E-UTRA FDD and (UE category M1 and CE Mode B)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.2.1	TDD Closed-loop spatial multiplexing performance for UE category M1 (Cell-Specific Reference Symbols)	Rel-13	C156b	UE supporting E-UTRA TDD and UE category M1	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.2.2	TDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 for UE category M1	Rel-13	C156e	UE supporting E-UTRA TDD and UE category M1 and TM9 in CE Mode A	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.2.3.1	TDD PDSCH Transmit Diversity for UE category M1	Rel-13	C156b	UE supporting E-UTRA TDD and UE category M1	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.1.2.3.1_1	TDD PDSCH Transmit Diversity for UE category M1 (CEModeB)	Rel-13	C156d	UE supporting E-UTRA TDD and UE category M1 and CE Mode B	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.2.1.1	FDD demodulation of MPDCCH in CE Mode A	Rel-13	C145b	UE supporting E-UTRA FDD and (UE category M1 or CE Mode A)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.2.1.2	FDD and half-duplex FDD demodulation of MPDCCH in CE Mode B	Rel-13	C156c	UE supporting E-UTRA FDD and (UE category M1 and CE Mode B)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.2.2.1	TDD demodulation of MPDCCH in CE Mode A	Rel-13	C156b	UE supporting E-UTRA TDD and UE category M1	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.11.2.2.2	TDD demodulation of MPDCCH in CE Mode B	Rel-13	C156d	UE supporting E-UTRA TDD and (UE category M1 and CE Mode B)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
		
8.12.1.1.1	Demodulation of NPDSCH (Cell-Specific Reference Symbols) in In-band mode for Category NB1	Rel-13	C112b	UE supporting category NB1	Each "Test Number" to be performed once, in a chosen band		
8.12.1.1.2	Demodulation of NPDSCH (Cell-Specific Reference Symbols) in standalone and Guard-band mode for category NB1	Rel-13	C112b	UE supporting category NB1	Each "Test Number" to be performed once, in a chosen band		
8.12.2.1.1	Demodulation of NPDCCH single-antenna performance for category NB1	Rel-13	C112b	UE supporting category NB1	Each "Test Number" to be performed once, in a chosen band		
8.12.2.1.2	Demodulation of NPDCCH in In-band mode Transmit Diversity performance for Category NB1	Rel-13	C112b	UE supporting category NB1	Each "Test Number" to be performed once, in a chosen band		
8.13.1.2.2	FDD Dual-Layer Spatial Multiplexing 2x4 (User-Specific Reference Symbols) (2DL CA)	Rel-10	C253	UE supporting E-UTRA FDD and intra-band contiguous DL CA or inter-band DL CA (UE Category >= 5) and 4Rx antenna ports	Refer to 36.521-1 8.1.2.6.5		Test execution not necessary if 8.13.1.2.3 or 8.13.1.2.4 or 8.13.1.2.5 is executed.
		Rel-11	C254	UE supporting E-UTRA FDD and intra-band non-contiguous DL CA (UE Category >= 5) and 4Rx antenna ports			
8.13.1.2.3	FDD Dual-Layer Spatial Multiplexing 2x4 (User-Specific Reference Symbols) (3DL CA)	Rel-10	C255	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA (UE Category >= 5) and 4Rx antenna ports	Refer to 36.521-1 8.1.2.6.5		Test execution not necessary if 8.13.1.2.4 or 8.13.1.2.5 is executed.
		Rel-11	C256	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA (UE Category >= 5) and 4Rx antenna ports			
8.13.1.2.4	FDD Dual-Layer Spatial Multiplexing 2x4 (User-Specific Reference Symbols) (4DL CA)	Rel-11	C257	UE supporting E-UTRA FDD and 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA (UE Category >= 5) and 4Rx antenna ports	Refer to 36.521-1 8.1.2.6.5		Test execution not necessary if 8.13.1.2.5 is executed.
8.13.1.2.5	FDD Dual-Layer Spatial Multiplexing 2x4 (User-Specific Reference Symbols) (5DL CA)	Rel-11	C258	UE supporting E-UTRA FDD and 5DL with intra-band contiguous and inter-band CA, or 5DL with intra-band non-contiguous and inter-band CA, or 5DL with intra-band non-contiguous and intra-band contiguous CA (UE Category 8, >= 11) and 4Rx antenna ports	Refer to 36.521-1 8.1.2.6.5		
		Rel-12	C259	UE supporting E-UTRA FDD and 5DL with inter-band CA (UE Category 8, >= 11) and 4Rx antenna ports			
8.13.3.3.1	TDD-FDD CA PDSCH Closed Loop Single Layer Spatial Multiplexing 2x4 with TM4 Interference Model-Enhanced Performance Requirement Type A for FDD Pcell (2DL CA)	Rel-12	C231	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and the enhanced performance requirements type A for LTE and FDD as PCell (UE Category >=5)			
8.13.3.3.2	TDD-FDD CA PDSCH Closed Loop Single Layer Spatial Multiplexing 2x4 with TM4 Interference Model-Enhanced Performance Requirement Type A for TDD Pcell (2DL CA)	Rel-12	C232	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and the enhanced performance requirements type A for LTE and TDD as PCell (UE Category >=5)			
8.13.3.4.1	TDD-FDD CA PDSCH Single-layer Spatial Multiplexing 2x4 on antenna ports 7 or 8 with TM9 Interference Model - Enhanced Performance Requirement Type A for FDD PCell (2DL CA)	Rel-12	C233	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and Feature Group Indictor 103 and the enhanced performance requirements type A for LTE and FDD as PCell (UE Category >=5)			
8.13.3.4.2	TDD-FDD CA PDSCH Single-layer Spatial Multiplexing 2x4 on antenna ports 7 or 8 with TM9 Interference Model - Enhanced Performance Requirement Type A for TDD PCell (2DL CA)	Rel-12	C234	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and Feature Group Indictor 103 and the enhanced performance requirements type A for LTE and TDD as PCell (UE Category >=5)			
8.13.3.6.1	TDD-FDD CA PDSCH Closed Loop Multi Layer Spatial Multiplexing 4x4 with 256QAM for FDD PCell (2DL CA)	Rel-12	C251	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and 256QAM in DL and FDD as Pcell(UE Category >=5) 			
8.13.3.6.2	TDD-FDD CA PDSCH Closed Loop Multi Layer Spatial Multiplexing 4x4 with 256QAM for TDD PCell (2DL CA)	Rel-12	C252	UE supporting E-UTRA FDD and TDD and 2DL CA with 4Rx antenna ports and 256QAM in DL and TDD as Pcell(UE Category >=5) 			
		Reporting of Channel State Information
9.2.1.1	FDD CQI Reporting under AWGN conditions - PUCCH 1-0	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.2	TDD CQI Reporting under AWGN conditions - PUCCH 1-0	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.3_C.1	FDD CQI Reporting under AWGN conditions - PUCCH 1-0 for eICIC (non-MBSFN ABS)	Rel-10	C29	UE supporting E-UTRA FDD and Feature Group Indicator 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.4_C.1	TDD CQI Reporting under AWGN conditions - PUCCH 1-0 for eICIC (non-MBSFN ABS)	Rel-10	C30	UEs supporting E-UTRA TDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.5_E.1	FDD CQI Reporting under AWGN conditions - PUCCH 1-0 for feICIC (non-MBSFN ABS)	Rel-11	C77	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.6_E.1	TDD CQI Reporting under AWGN conditions - PUCCH 1-0 for feICIC (non-MBSFN ABS)	Rel-11	C78	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115(UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.1.7	FDD CQI Reporting under AWGN conditions - PUCCH 1-0 for 256QAM in DL	Rel-12	C01h	UE supporting E-UTRA FDD and 256QAM in DL(UE category 11-12 and UE DL category >=11)		2Rx, 4Rx	
9.2.1.8	TDD CQI Reporting under AWGN conditions - PUCCH 1-0 for 256QAM in DL	Rel-12	C02h	UE supporting E-UTRA TDD and 256QAM in DL(UE category 11-12 and UE DL category >=11)		2Rx, 4Rx	
9.2.2.1	FDD CQI Reporting under AWGN conditions - PUCCH 1-1	Rel-8	C13 b	UE supporting E-UTRA FDD (UE categories >=2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.2.2.2	TDD CQI Reporting under AWGN conditions - PUCCH 1-1	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.2.3.1_D	FDD CQI Reporting under AWGN conditions - PUCCH 1-1 for eDL-MIMO	Rel-10	C25	UE supporting E-UTRA FDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.3.2_D	TDD CQI Reporting under AWGN conditions - PUCCH 1-1 for eDL-MIMO	Rel-10	C26	UE supporting E-UTRA TDD and Feature Group Indicator 104	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.4.1_F	FDD CQI Reporting under AWGN conditions - Single CSI Process for CoMP	Rel-11	C117	UE supporting E-UTRA FDD and Maximum CSI processes of One, Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.2.4.2_F	TDD CQI Reporting under AWGN conditions - Single CSI Process for CoMP	Rel-11	C118	UE supporting E-UTRA TDD and Maximum CSI processes of One, Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.2.6.1	LAA CQI Reporting under AWGN Conditions with Frame Structure Type 3 with FDD as Pcell (PUSCH 3-0)	Rel-13	C209	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.6.2	LAA CQI Reporting under AWGN Conditions with Frame Structure Type 3 with TDD as Pcell (PUSCH 3-0)	Rel-13	C217	UE supporting E-UTRA TDD and downlink LAA with TDD as Pcell	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.7.1	LAA CQI Reporting under AWGN Conditions with Frame Structure Type 3 with FDD as Pcell (PUSCH 3-1)	Rel-13	C218	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.2.7.2	LAA CQI Reporting under AWGN Conditions with Frame Structure Type 3 with TDD as Pcell (PUSCH 3-1)	Rel-13	C219	UE supporting E-UTRA TDD and downlink LAA and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.1.1.1	FDD CQI Reporting under fading conditions - PUSCH 3-0	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.1.1.2	TDD CQI Reporting under fading conditions - PUSCH 3-0	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.1.2.1_D	FDD CQI Reporting under fading conditions - PUSCH 3-1 for eDL-MIMO	Rel-10	C25	UE supporting E-UTRA FDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.1.2.2_D	TDD CQI Reporting under fading conditions - PUSCH 3-1 for eDL-MIMO	Rel-10	C25a	UE supporting E-UTRA TDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.1.2.3	FDD CQI Reporting under fading conditions - PUSCH 3-1 for 256QAM in DL	Rel-12	 C260	UE supporting E-UTRA FDD and 256QAM in DL(UE category 11-12 and UE DL category >=11) and Feature Group Indicator 103		2Rx, 4Rx	
9.3.1.2.4	TDD CQI Reporting under fading conditions - PUSCH 3-1 for 256QAM in DL	Rel-12	 C261	UE supporting E-UTRA TDD and 256QAM in DL(UE category 11-12 and UE DL category >=11) and Feature Group Indicator 103		2Rx, 4Rx	
9.3.1.3.1_E.1	FDD CQI Reporting under fading conditions - PUSCH 3-0 for feICIC (non-MBSFN ABS)	Rel-11	C79	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.1.3.2_E.1	TDD CQI Reporting under fading conditions - PUSCH 3-0 for feICIC (non-MBSFN ABS)	Rel-11	C80	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.2.1.1	FDD CQI Reporting under fading conditions - PUCCH 1-0	Rel-8	C13 b	UE supporting E-UTRA FDD (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.2.1.1_1	FDD CQI Reporting under fading conditions - PUCCH 1-0 (Release 9 and forward)	Rel-9	C15	UE supporting E-UTRA FDD (UE category 1)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.2.1.2	TDD CQI Reporting under fading conditions - PUCCH 1-0	Rel-8	C14	UE supporting E-UTRA TDD (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.2.1.2_1	TDD CQI Reporting under fading conditions - PUCCH 1-0 (Release 9 and forward)	Rel-9	C16	UE supporting E-UTRA TDD (UE category 1)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.2.2.1_D	FDD CQI Reporting under fading conditions - PUCCH 1-1 for eDL-MIMO	Rel-10	C25x	UE supporting E-UTRA FDD and Feature Group Indicator 103 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.2.2.2_D	TDD CQI Reporting under fading conditions - PUCCH 1-1 for eDL-MIMO	Rel-10	C28y	UE supporting E-UTRA TDD and Feature Group Indicators 104 and 110 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.3.1.1	FDD CQI Reporting under fading conditions and frequency-selective interference - PUSCH 3-0	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.3.1.2	TDD CQI Reporting under fading conditions and frequency-selective interference - PUSCH 3-0	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.4.1.1	FDD CQI Reporting under fading conditions - PUSCH 2-0	Rel-9	C32	UE supporting E-UTRA FDD and Feature Group Indicator 1	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.4.1.2	TDD CQI Reporting under fading conditions - PUSCH 2-0	Rel-9	C37	UE supporting E-UTRA TDD and Feature Group Indicator 1	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.4.2.1	FDD CQI Reporting under fading conditions - PUCCH 2-0	Rel-9	C36	UE supporting E-UTRA FDD and Feature Group Indicator 2	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.4.2.2	TDD CQI Reporting under fading conditions - PUCCH 2-0	Rel-9	C38	UE supporting E-UTRA TDD and Feature Group Indicator 2	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.5.1.1	FDD CQI Reporting under fading conditions - PUCCH 1-0 - Enhanced Performance Requirement Type A	Rel-11	C44	UE supporting E-UTRA FDD and the enhanced performance requirements type A for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.5.1.2	TDD CQI Reporting under fading conditions - PUCCH 1-0 - Enhanced Performance Requirement Type A	Rel-11	C45	UE supporting E-UTRA TDD and the enhanced performance requirements type A for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.5.2.1	FDD CQI Reporting under fading conditions - PUCCH 1-1 - Enhanced Performance Requirement Type A	Rel-11	C44z	UE supporting E-UTRA FDD and the enhanced performance requirements type A for LTE (UE Category >= 2) and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.5.2.2	TDD CQI Reporting under fading conditions - PUCCH 1-1 - Enhanced Performance Requirement Type A	Rel-11	C45i	UE supporting E-UTRA TDD and the enhanced performance requirements type A for LTE (UE Category >= 2) and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.6.1_F.1	FDD CQI Reporting under fading conditions with Single CSI process for CoMP	Rel-11	C50a	UE supporting E-UTRA FDD and Maximum CSI processes of One on a component carrier within a band with PDSCH transmission mode 10	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.6.1_F.2	FDD CQI Reporting under fading conditions with Three CSI processes for CoMP	Rel-11	C96	UE supporting E-UTRA FDD and Maximum CSI processes of Three on a component carrier within a band with PDSCH transmission mode 10	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.6.1_F.3	FDD CQI Reporting under fading conditions with Four CSI processes for CoMP	Rel-11	C97	UE supporting E-UTRA FDD and Maximum CSI processes of Four on a component carrier within a band with PDSCH transmission mode 10 	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.6.2_F.1	TDD CQI Reporting under fading conditions with Single CSI process for CoMP	Rel-11	C51a	UE supporting E-UTRA TDD and Maximum CSI processes of One on a component carrier within a band with PDSCH transmission mode 10	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.6.2_F.2	TDD CQI Reporting under fading conditions with Three CSI processes for CoMP	Rel-11	C98	UE supporting E-UTRA TDD and Maximum CSI processes of Three on a component carrier within a band with PDSCH transmission mode 10 	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.6.2_F.3	TDD CQI Reporting under fading conditions with Four CSI processes for CoMP	Rel-11	C99	UE supporting E-UTRA TDD and Maximum CSI processes of Four on a component carrier within a band with PDSCH transmission mode 10 	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.7.1	FDD CQI Reporting under fading conditions - PUSCH 3-2 for eDL MIMO Enhancement	Rel-12	C25	UE supporting E-UTRA FDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	9.3.7.1
9.3.7.2	TDD CQI Reporting under fading conditions - PUSCH 3-2 for eDL MIMO Enhancement	Rel-12	C25a	UE supporting E-UTRA TDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	
9.3.8.1.1	FDD CQI Reporting under fading conditions - PUCCH 1-1 (Cell-Specific Reference Symbols) TM4 - Enhanced Receiver Type B	Rel-12	C152	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.8.1.2	TDD CQI Reporting under fading conditions - PUCCH 1-1 (Cell-Specific Reference Symbols) TM4 - Enhanced Receiver Type B	Rel-12	C153	UE supporting E-UTRA TDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.8.2.1	FDD CQI Reporting under fading conditions - PUCCH 1-1 (CSI Reference Symbol) TM9 - Enhanced Receiver Type B	Rel-12	C152	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.8.2.2	TDD CQI Reporting under fading conditions - PUCCH 1-1 (CSI Reference Symbol) TM9 - Enhanced Receiver Type B	Rel-12	C153	UE supporting E-UTRA TDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.8.3.1	FDD CQI Reporting under fading conditions - PUCCH 1-1 (CSI Reference Symbol) TM10 with TM9 interference - Enhanced Receiver Type B	Rel-12	C152	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
9.3.8.3.2	TDD CQI Reporting under fading conditions - PUCCH 1-1 (CSI Reference Symbol) TM10 with TM9 interference - Enhanced Receiver Type B	Rel-12	C153	UE supporting E-UTRA TDD and the enhanced performance requirements type B for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
