Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
14.6.1c	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM	Rel-7	C373c	UE supporting FDD and (FDD HS-DSCH category 13 or FDD HS-DSCH category 14 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1d	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM and MIMO	Rel-7	C373d	UE supporting FDD and (FDD HS-DSCH category 15 or FDD HS-DSCH category 16 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1e	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM and MIMO	Rel-8	C373e	UE supporting FDD and (FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1f	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM and Dual-Cell	Rel-8	C373f	UE supporting FDD and Dual Cell Operation and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1g	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM and Dual-Cell	Rel-8	C373g	UE supporting FDD and Dual Cell Operation and (FDD HS-DSCH category 23 or 24) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1h	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 16QAM, Dual-Cell and MIMO	Rel-9	C373h	UE supporting FDD and (FDD HS-DSCH category 25 or 26 or 27 or 28) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1i	Interactive or background / UL:64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM, Dual-Cell and MIMO	Rel-9	C373i	UE supporting FDD and (FDD HS-DSCH category 27 or 28) and Interactive or Background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.1j	Interactive or background / UL: 64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL: 3.4 DL: 3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM, 64QAM and 3C - 3C on Single Band (3-0)	Rel-10	C851a	UEs supporting FDD and (FDD HS-DSCH category 29, FDD HS-DSCH category 30, FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
14.6.1k	Interactive or background / UL: 64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL: 3.4 DL: 3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM, 64QAM and 3C - 3C on Dual Band (2-1)	Rel-10	C861a	UEs supporting FDD and (FDD HS-DSCH category 29, FDD HS-DSCH category 30, FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (2,1))	1 Execution: PS	
14.6.1l	Interactive or background / UL: 64 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs PS RAB + UL: 3.4 DL: 3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM, 64QAM and 3C - 3C on Dual Band (1-2)	Rel-10	C860a	UEs supporting FDD and (FDD HS-DSCH category 29, FDD HS-DSCH category 30, FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (1,2))	1 Execution: PS	
14.6.2	Interactive or background / UL:384 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C374	UE supporting FDD and HS-PDSCH and Interactive or background / UL:384 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.3	Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C399	UE supporting FDD and PS and CS simultaneously and HS-PDSCH and Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: CS+PS	
14.6.3a	Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C400	UE supporting FDD and HS-PDSCH and PS and CS simultaneously and Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH  Note: For UEs for which test case 14.6.3 is applicable then test case 14.6.3a is optional (14.6.3a considered implicitly covered by 14.6.3).	1 Execution: CS+PS	
14.6.4	Conversational / unknown / UL:64 DL:64 kbps / CS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C401	UE supporting FDD and HS-PDSCH and PS and CS simultaneously and Conversational / unknown / UL:64 DL:64 kbps / CS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: CS+PS	
14.6.4a	Conversational / unknown / UL:64 DL:64 kbps / CS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C402	UE supporting FDD and HS-PDSCH and PS and CS simultaneously and Conversational / unknown / UL:64 DL:64 kbps / CS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH  Note: For UEs for which test case 14.6.4 is applicable then test case 14.6.4a is optional (14.6.4a considered implicitly covered by 14.6.4).	1 Execution: CS+PS	
14.6.5	Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C403	UE supporting FDD and HS-PDSCH and Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + Interactive or background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.5a	Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C404	UE supporting FDD and HS-PDSCH and Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + Interactive or background / UL:64 DL:[Bit rate depending on the UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH  Note: For UEs for which test case 14.6.5 is applicable then test case 14.6.5a is optional (14.6.5a considered implicitly covered by 14.6.5).	1 Execution: PS	
14.6.6	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C405	UE supporting FDD and HS-PDSCH and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6a	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: QPSK and 16QAM	Rel-7	C405a	UE supporting FDD and MAC-ehs and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6b	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM	Rel-7	C405b	UE supporting FDD and (FDD HS-DSCH category 13 or FDD HS-DSCH category 14 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6c	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM and MIMO	Rel-7	C405c	UE supporting FDD and (FDD HS-DSCH category 15 or FDD HS-DSCH category 16 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6d	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM and MIMO	Rel-8	C405d	UE supporting FDD and (FDD HS-DSCH category 19 or FDD HS-DSCH category 20) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6e	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: QPSK, 16QAM and Dual-Cell	Rel-8	C405e	UE supporting FDD and Dual Cell Operation and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6f	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: 64QAM and Dual-Cell	Rel-8	C405f	UE supporting FDD and Dual Cell Operation and (FDD HS-DSCH category 23 or 24) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6g	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: combination of 16QAM, Dual-Carrier and MIMO	Rel-9	C405g	UE supporting FDD and (FDD HS-DSCH category 25 or 26 or 27 or 28) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.6h	Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] with Flexible RLC and MAC-ehs / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / DL: combination of 64QAM, Dual-Carrier and MIMO	Rel-9	C405h	UE supporting FDD and (FDD HS-DSCH category 27 or 28) and Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.7	Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-5	C406	UE supporting FDD and HS-PDSCH and PS and CS simultaneously and Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Streaming / unknown / UL:128 DL: [guaranteed 128, max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:128 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: CS+PS	
14.6.8	Conversational / speech / UL:(12.65 8.85 6.6) DL:(12.65 8.85 6.6) kbps / CS RAB + Interactive or Background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB+ UL:3.4 DL:3.4 kbps SRBs for DCCH + DL:0.15 kbps SRB#5 for DCCH	Rel-5	C407	UE supporting FDD and HS-PDSCH and Wide band speech and PS and CS simultaneously and Conversational / speech / UL:(12.65 8.85 6.6) DL:(12.65 8.85 6.6) kbps / CS RAB + Interactive or Background / UL:384 DL:[Bit rate depending on the UE category] / PS RAB+ UL:3.4 DL:3.4 kbps SRBs for DCCH + DL:0.15 kbps SRB#5 for DCCH	1 Execution: CS+PS	
14.6.9	Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / MBMS Selected Service	Rel-6	C556	UE supporting FDD and PS domain services and simultaneous HS-PDSCH and MBMS services and MBMS broadcast services and Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.9m	Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / MBMS Multicast Service	Rel-6	C557	UE supporting FDD and PS domain services and simultaneous HS-PDSCH and MBMS services and MBMS multicast services and Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.10	Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / MBMS Selected Service	Rel-6	C582	UE supporting FDD and PS domain services and simultaneous HS-PDSCH and MBMS services and MBMS broadcast services and Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.6.10m	Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH / MBMS Multicast Service	Rel-6	C583	UE supporting FDD and PS domain services and simultaneous HS-PDSCH and MBMS services and MBMS multicast services and Streaming MBMS PTP / unknown / UL:16 DL: [max bit rate depending on UE category] kbps / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + Interactive or background / UL:64 DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.7.1	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH on DCH	Rel-6	C436	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH on DCH	1 Execution: PS	
14.7.1a	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DLDCH/ UL 16QAM	Rel-7	C586	UEs supporting FDD and HS-PDSCH and E-DPDCH and UL 16QAM and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DL DCH	1 Execution: PS	
14.7.2	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DL DCH	Rel-6	C437	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DL DCH	1 Execution: PS	
14.7.3	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH	Rel-6	C561	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and fully supporting F-DPCH	1 Execution: PS	
14.7.3a	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] with Flexible RLC, MAC-ehs and MAC-i/is / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH with MAC-ehs and MAC-i/is	Rel-8	C438a	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and supporting MAC-i/is	1 Execution: PS	
14.7.3b	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] with Flexible RLC, MAC-ehs and MAC-i/is / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH with MAC-ehs and MAC-i/is / UL: QPSK and Dual-Cell DL: 16QAM and Dual-Cell	Rel-9	C438b	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and supporting Dual Cell E-DCH operation (FDD E-DCH physical layer categories 8 or 9)	1 Execution: PS	
14.7.3c	Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] with Flexible RLC, MAC-ehs and MAC-i/is / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH with MAC-ehs and MAC-i/is / UL: 16QAM and Dual-Cell DL: 16QAM and Dual-Cell	Rel-9	C438c	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and supporting UL 16QAM in Dual Cell E-DCH operation (FDD E-DCH physical layer category 9)	1 Execution: PS	
14.7.4	Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	Rel-6	C439	UEs supporting FDD and HS-PDSCH and E-DPDCH and PS and CS simultaneously and Conversational / speech / UL:12.2 DL:12.2 kbps / CS RAB + Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH	1 Execution: PS	
14.7.5	Streaming or interactive or background / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DL DCH	Rel-6	C440	UEs supporting FDD and HS-PDSCH and E-DPDCH and Streaming or interactive or background / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL:3.4 kbps SRBs for DCCH on E-DCH and DL DCH	1 Execution: PS	
14.7.6	Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH	Rel-6	C562	UEs supporting FDD and HS-PDSCH and E-DPDCH and Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and fully supporting F-DPCH	1 Execution: PS	
14.7.6a	Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH/ UL 16QAM	Rel-7	C587	UEs supporting FDD and HS-PDSCH and E-DPDCH and UL 16QAM and Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and fully supporting F-DPCH	1 Execution: PS	
14.7.6b	Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps with Flexible RLC and MAC-ehs / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] with Fixed RLC and MAC-ehs / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and SRBs with Fixed RLC and MAC-ehs on HS-DSCH / UL: QPSK and DL: QPSK	Rel-7	C562a	UEs supporting FDD and MAC-ehs and E-DPDCH and Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and fully supporting F-DPCH	1 Execution: PS	
14.7.6c	Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps with Flexible RLC, MAC-ehs and MAC-i/is / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] with Fixed RLC, MAC-ehs and MAC-i/is / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH with MAC-ehs and MAC-i/is / UL: QPSK and DL: QPSK	Rel-8	C562b	UEs supporting FDD and MAC-ehs and E-DPDCH and Conversational / unknown or speech / UL:[max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] kbps / PS RAB + Streaming or Interactive or background / UL: [max bit rate depending on UE category and TTI] DL: [max bit rate depending on UE category] / PS RAB + UL:[max bit rate depending on UE category and TTI] DL: :[max bit rate depending on UE category] SRBs for DCCH on E-DCH and HS-DSCH and supporting MAC-i/is	1 Execution: PS	
